"""News"" if validated",Affected sq km,Affected,Annual DFO #,Began,Damage $ (USD),Main Flood Cause,Country,Damage (USD),Date Began,Dead,Detailed Locations,Displaced,Duration in Days,Ended,Glide #,Latitude of Centroid Y,Longitude of Centroid X,M>4,M>6,Magnitude (M)**,Main cause,Nations,Notes and Comments,Number of Records,Other,Register #,Severity *,Total annual floods M>4,Total annual floods M>6,Total floods M>4,Total floods M>6,Validation (post event #3503)
News,88870.6,,,01/03/2012,,Heavy Rain,Chile,,01/03/2012,0,Southern region of Magallanes and Antarctica; northern region of Arica-Parinacot,1000,15,15/03/2012,0,-52.8256,-69.408,1,1,6.300940630,Heavy Rain,,"March 13, 2012: ""Santiago, Mar 13 (Prensa Latina) So far over 1,000 people are homeless due to the heavy rains that are hitting the two more extreme regions of Chile, areas that are still on alert.In the southern region of Magallanes and Antarctica, a storm, which was considered as the worst one in 22 years, caused the River Mines to overflow, affecting nearly 800 families and causing material damages. ""We are very concerned about the situation in Punta Arenas"", said Minister of Labour and Social Welfare, Evelyn Matthei, who traveled to the territory on Monday to lead the Emergency Operations Committee.Matthei also confirmed that the government requested the regional director of the National Emergencies to resign for ""incompetence"" due to the magnitude of the phenomenon.Meanwhile, in the northern region of Arica-Parinacota, the intensity of the rains caused the San Jose river to overflow, affecting about 300 people.The Chilean government ordered the Minister of Social Development, Joaquin Lavin, to travel to the northern territory of the country along with deputy Minister of Agriculture, Alvaro Cruzat.""",1,0,3911,1.5,21,9,3383,980,News
News,39793.06,,,01/03/2012,,Heavy Rain,Ecuador,,01/03/2012,10,Including western Manabi Province,4700,26,26/03/2012,0,-0.5987,-79.4951,1,1,6.190871944,Heavy Rain,,"March 25, 2012: ""QUITO, Ecuador (AP) -- Ecuador's government says floods and mudslides have caused at least 10 deaths so far this year and forced about 4,700 people to flee their homes.Heavy rains have set off mudslides in some areas and caused rivers to overflow.The government emergency management office said on Sunday that at least 10 people have died and 14 have been injured during heavy rains since January.Agency official Christian Taco says more than 4,700 people have evacuated their homes this year. Of those, about 2,800 are staying in disaster shelters while others moved in with relatives.Government Water Secretary Walter Soliz says one mudslide in western Manabi province on Saturday forced more than 100 people to evacuate a nearby neighborhood.""",1,0,3910,1.5,20,8,3382,979,News
News,566733.66,,,03/03/2012,,Tropical Storm,Madagascar,,03/03/2012,65,Southeastern portions; other regions,0,5,07/03/2012,0,-18.9673,46.9438,1,1,6.628440271,Tropical Storm Irina,,"March 13, 2012: "" Four people died and three were reported missing after floods hit Durban, KwaZulu-Natal police said on Tuesday.“We can confirm that four people were found dead in Inanda and Verulam,” Captain Thulani Zwane said. Three people were reported missing after heavy rain and flooding, caused by tropical storm Irina last week. He could not give further details and referred all enquiries to the KwaZulu-Natal department of co-operative and traditional affairs, which is responsible for disaster management in the province. Spokesman Lennox Mabaso said he could not immediately confirm the deaths, or the report of three people missing. The Times newspaper, which carried a picture of a policeman standing next to one of the dead, reported the man was swept away trying to cross the Ohlange River in Inanda"". March 5, 2012: "" Tropical Storm Irina has killed at least 65 people and affected more than 70,000 in Madagascar"""" As word reached Madagascar’s capital that 65 people were killed in the southeast in landslides and floods caused by a tropical storm, the prime minister set out Tuesday to lead an emergency mission to the hardest hit regions.The storm, Irina hit the Indian Ocean island late on Feb. 26. The official report on its impact was issued Monday after information trickled in from isolated regions. Prime Minister Jean Omer Beriziky headed to the region.Several roads in the southeast were impassible. Irina also caused death and destruction in Mozambique and South Africa, but not on as large a scale.",1,Mozambique,3909,1.5,19,7,3381,978,News
News,6851.66,,,01/03/2012,,Heavy Rain,Tanzania,,01/03/2012,10,"Ngorongoro District, Arusha Region",0,7,07/03/2012,0,-1.83097,34.7926,1,0,4.680893844,Heavy Rain,,"March 1, 2012: ""Arusha — TEN pupils of Piyaya Primary School in Ngorongoro District have died after being swept by raging flood waters while attempting to cross Losukutane River. The river had suddenly swollen following torrential rains that fell in many parts of Ngorongoro District on Monday afternoon. More than twenty people waded through the flooded river, among them the dead school pupils who were on their way home from school.The sad incident, which has been confirmed by both the Police in Ngorongoro, as well as the Disaster Committee at the Regional Commissioner's office here, reportedly occurred last Monday evening in Sale Division.Five bodies have been recovered and rescue teams continue to search for the rest who perished in the river crossing Piyaya Village in Malambo ward.The river has no bridge and residents only use stepping stones to cross over.The bodies of the children have been identified as, Rapaine Lekima and Kisiaya Kime, both aged 12 and in Class Six. Others are Nemao Saragi and Lekinyori Lemasa (11), in Standard Five. The fifth victim was Olonana Lekima (13), a brother to Rapaine.""",1,0,3908,1,18,6,3380,977,News
News,4597.04,,,04/03/2012,,Torrential Rain,Indonesia,,04/03/2012,5,"Baharu River, Kotabaru, S Kalimantan",0,4,07/03/2012,0,-3.18435,116.093,1,0,4.264538274,Torrential Rain,,"March 5, 2012: ""Kotabaru, S Kalimantan (ANTARA News) - Five people were killed after a flash flood swept them away following the overflowing of Baharu river here on Saturday. ""The fatalities were identified as Irham, Iqbal, Husein, Wawan and Dedi,"" the Kotabaru Disaster Management Agency member, Sugeng said here on Sunday. Dedi (13) was the last victim found under the fish market at noon,"" Sugeng said, adding Irham (13), Iqbal (13) and Husein (13) were found stuck under the Baharu bridge. In the meantime, Wawan (27) was found stuck under a bridge in Patmaraga street. Wawan (27) is a member of the Disaster Management Agency. Kotabaru district is about 300 kilometers southeast of South Kalimantan provincial capital city of Banjarmasin.In the meantime, head of the Kotabaru Disaster Management Agency, Tri Basuki Rahmat said here on Saturday that his agency deployed about 50 personnel of Search and Rescue (SAR) to find the victims. According to Tri Basuki Rahmat, the Kotabaru district administration will cover all expenses of treatment in the hospital and for the burial process.  (*).""",1,0,3907,1,17,6,3379,977,News
News,594.251,,,04/03/2012,,Heavy Rain,Gaza,,04/03/2012,0,"Gaza Valley, Gaza Strip",1200,4,07/03/2012,FL-2012-000037-PSE,31.4583,34.4615,0,0,3.376029913,Heavy Rain,,"March 7, 2012: ""Flood,Palestine (West Bank): The exceptional rain storms that hit the OPT resulted in the evacuation of more than 300 families from their houses due to floods and major damages in the houses located in the districts of Gaza, Hebron, Jenin, Salfit, Ramallah and the Jerusalem area beyond the separation wall""",1,0,3906,1,16,6,3378,977,News
News,2046.16,,,04/03/2012,,Heavy Rain,USA,,04/03/2012,0,Oahu and Kauai,83,4,07/03/2012,0,22.0625,-159.53,1,0,4.089090841,Heavy Rain,,"March 7, 2012: ""LIHUE, Hawaii (AP) - Hawaii's governor declared a disaster for two islands on Tuesday after three days of relentless rains caused flooding and a sewage spill on Kauai, where officials were dealing with tree-blocked roads, closed schools and dangerous surf.Gov. Neil Abercrombie's declaration includes Oahu, where Honolulu is located. A brown water advisory was issued on the island after two manholes overflowed and wastewater flowed into the ocean. There were also warnings of possible hail, lightning, rockslides and water-clogged roads.Kauai schoolchildren were kept home Tuesday. A middle school was functioning as an emergency shelter, where 33 people spent the night Monday. The Hawaii chapter of the Red Cross said more than 50 others spent the night at three other shelters.State workers in Honolulu on Tuesday continued to remove floating trash from the debris trap at the entrance to the Ala Wai small boat harbor. Cleanup began Monday after the weekend rains washed large amounts of trash into the Ala Wai canal.The National Weather Service issued a flash flood watch for Kauai, Niihau and Oahu, as well as the islands of Lanai, Maui and Molokai.""",1,0,3905,1.5,16,6,3378,977,News
News,41623.96,,,25/02/2012,,Torrential Rain,Tunisia,,25/02/2012,3,Northwestern region of Tunisia,1000,3,27/02/2012,0,35.1163,8.69862,1,0,5.272555909,Torrential Rain,,"February 23, 2012: ""At least two people are confirmed dead and one has been reported missing in a major flooding emergency that has swept the northwestern region of Tunisia tonight.A car carrying three people was swept away in heavy flooding and two from the car were confirmed killed in Boulifa, seven kilometers from Kef, according to the Tunisian state news agency TAP.Heavy rainfalls, combined with the runoff from recent snowfalls have led to landslides and the inundation of several towns and villages.Flood alerts have been issued, and the Tunisian army is evacuating residents living in the Kef, Jendouba, Bizerte and Beja Governorates, an area spanning the entirety of Tunisia's northwest region.News of Tunisia has reported that the regional director of civil protection in Beja, called on all residents in the town of Mtsakna to take shelter in evacuation centers set up by the army due to the strong possibility that heavy flooding will engulf the town. More than 1000 people have been evacuated from a neighborhood of Mateur, near Bizerte, in expectation of major flooding.""",1,0,3904,1.5,15,6,3377,977,News
News,172063.87,,,20/02/2012,,Heavy Rain,Brazil,,20/02/2012,3,"Northern province of Pando, in the Amazon rainforest on the border with Brazil; Acre River, Brazil",89000,36,26/03/2012,FL-2012-000032-BOL,-10.4897,-67.9865,1,1,7.093022183,Heavy Rain,,"March 5, 2012: ""Due to the presence of La Nina weather phenomena for a second consecutive year, severe precipitations have occurred in Bolivia since the second week in January 2012. As a result, widespread flooding and other weather related situations such as hailstorms and landslides have affected 107 municipalities in 9 departments. Many of the emergency situations have occurred in areas not often affected in a severe manner as is the case of the Cobija, the capital city of Pando department"". February 23, 2012: ""The number of Brazilians affected by floods on Thursday, due to heavy rains in the state of Acre, rose to 63,800, according to the latest report from the local Civil Defense. That figure includes 8,500 people who lost their homes, and 44,700 who had to abandon them due to the rising water levels of the Acre River, which was 17.46 meters high, close to the record of 17.66 meters set in 1997.After warning that the level of the river would overcome the historic record, Armin Braun, head of the National Center for Disaster Risk Management and Civil Defence, told the Agencia Brasil news agency that prevention efforts avoided fatalities. Braun also highlighted the work of state and federal governments while assisting and taking care of victims, and also that homeless victims were housed in shelters, where they receive food and other provisions"".. ""Bolivia floods: Emergency declared in Amazon region Many families are living in temporary shelters. Bolivia's government has declared a state of emergency in response to flooding caused by heavy seasonal rains. Around 9,000 families have been made homeless, officials say, and several people are reported dead. Roads have been cut, and large areas of farmland have been inundated. Worst hit has been the northern province of Pando, in the Amazon rainforest on the border with Brazil, where the river Acre burst its banks. Much of the provincial capital, Cobija, is under water and some remote villages are feared to have been destroyed. Bolivian Defence Minister Ruben Saavedra said the declaration of an emergency would allow local authorities to access special funds. Bolivia's Amazon lowland plains are subject to flooding every year during the January-March rainy season, but this year's rains have been unusually intense. Neighbouring areas in the Peruvian and Brazilian Amazon have also been affected. """,1,Bolivia,3903,2,14,6,3376,977,News
News,194382.95,,,20/02/2012,,Torrential Rain,Indonesia,,20/02/2012,0," Nagari Simpang, Pasaman district, West Sumatra; Boyolali, Central Java",1200,8,27/02/2012,0,-2.58568,103.416,1,1,6.191748156,Torrential Rain,,"February 23, 2012: ""Padang, W Sumatra (ANTARA News) - A flash flood triggered by heavy rains destroyed at least 113 houses at Nagari Simpang, Pasaman district, West Sumatra, on Wednesday evening. About 10 houses were carried away by the water current, spokesman of the Pasaman district administration Budi Hermawan said on Thursday. ""Five to six of the houses carried away by the water current were leveled to ground,"" he said. Since Wednesday night, residents of Nagari Sampang have been evacuated to an elementary school building at Mudiak Simpang. ""Last night, junior high school building at Simpati was packed by evacuees so we removed some of them to the elementary school building we considered safe,"" he said. Last night the Pasaman district administration formed a disaster mitigation post, put up a number of tents and distributed instant food among the flood evacuees, he said. ""And this morning we set up a public kitchen in the evacuee camp,"" he said.No injuries or fatalities were reported in the flood.""Two or three residents who had earlier been reported missing had joined their relatives. They said they evacuated to a hill,"" he said.""  February 22, 2012: ""Boyolali, Central Java (ANTARA News) - Hundreds of houses in Kismoyono village, Boyolali district, Central Java, were on Wednesday inundated after heavy rains since the night before caused the Kijing and Jampen rivers to overflow. Kismoyoso village chief Joko Margono said the deluge started to invade people`s houses at 01.00 and kept on rising until Wednesday morning. ""This year`s flooding is worse than in 2011. Our village is flooded every rainy season,"" he said. The flood waters rose to the height of an adult`s hips but at around 09.00 they began to recede. People were now busy cleaning up the mud and garbage brought by the flood. But at seven hamlets in Kismoyoso the height of the flood waters ranged from an ankle to an adult`s breast. This happened in the hamlets of Ngampo, Tegalan, Beran, Grasak, Krajan, Jampen, Kedunggowo, and Tambas. There were no reports of fatalities because of the flood. """,1,0,3902,1,13,5,3375,976,News
News,50438.09,,,20/02/2012,,Heavy Rain,Nigeria,,20/02/2012,5,Northeast Nigeria; Nigeria’s Adamawa State,300,8,27/02/2012,0,9.85967,12.8074,1,0,5.605848619,Heavy Rain,,"February 21, 2012: ""By George Fominyen. It’s been raining hard in West Africa, and the media is overflowing with stories of the destruction caused by the deluges and resulting floods.The bad weather has caused some deaths, and rendered hundreds homeless across the region. It has also triggered a spike in the price of local culinary delights, including fish.For instance, in Senegal, a storm at sea and days of torrential rainfall have discouraged fishermen from sailing into the Atlantic, making fish more expensive in local markets, Senegalese media have reported.Most canoes have been packed away, and those fishermen who dare to brave the turbulent seas have increased the price they charge retailers for their catch.“They (fishermen) sell us the thiof (a type of fish) at 3,500 FCFA ($7.60) and we resell at 4,000 ($8.70) or 5,000 FCFA ($10.90).  That is why we have very few customers these days,” said Fatou Sall, a retailer at a Dakar fish market.In Dakar’s suburbs, residents driven from their homes by floodwaters have protested against what they perceive as a lack of investment by the government to help them cope with annual floods, Walf Adjiri TV has reported.Senegal has suffered recurring floods in the past decade, which force tens of thousands of people out of their homes each year.Experts say the more extreme rainfall could be linked to the effects of climate change in West Africa, and have urged governments to develop strategies to adapt to weather and climate shifts.CALLS FOR BETTER TOWN PLANNINGThey have also called on local authorities to improve town planning, including constructing drainage systems, while ensuring that people don’t settle in swampy areas and on waterways.Some seem to be acting on that advice. The council chairman of Sunam village in northeastern Nigeria, for example, has advised hundreds of people whose homes were destroyed by flooding to stop blocking up waterways with refuse.Five people were killed and hundreds uprooted by torrential rains and floods in the village in Nigeria’s Adamawa State, the Nigerian Tribune reported on Wednesday.Meanwhile, in Cameroon, severe flooding after a heavy downpour on Monday surprised inhabitants of the capital, leaving several motorists marooned until passers-by pushed them to safety, the government-run Cameroon Tribune newspaper said.And in Burkina Faso, two days of heavy  rains struck fear into residents of Simonville, a neighbourhood in the capital Ouagadougou, reviving memories of the country’s worst-ever flooding in September 2009, the Observateur Paalga newspaper reported.“Although this (torrential rainfall) was not a tsunami, it induced cold sweat among residents who say they are scared every time there are dark clouds in the sky,” the paper said..""",1,Camaroun,3901,1,12,4,3374,975,News
News,39825.28,,,20/02/2012,,Torrential Rain,Philippines,,20/02/2012,0,Lambayong township of Sultan Kudarat province and villages in the provinces of Agusan del Norte and Surigao del Norte,25000,8,27/02/2012,0,8.22392,125.265,1,0,5.503248825,Torrential Rain,,"February 20, 2012: ""Manila, Feb 20 (IANS) Nearly 25,000 people in southern Philippines have been displaced by flashfloods triggered by heavy rains, the authorities said Monday. The Lambayong township of Sultan Kudarat province and villages in the provinces of Agusan del Norte and Surigao del Norte were affected by the flooding due to rains since Sunday, Xinhua reported.Civil defence official Blanche Gobenciong said lakeside towns in Agusan del Norte and Surigao del Norte were worst affected. There were no reports of death, she said..""",1,0,3900,1,11,4,3373,975,News
News,12053.82,,,12/02/2012,,Torrential Rain,Indonesia,,12/02/2012,0,"Cilegon, Banten",6800,3,14/02/2012,0,-6.31874,106.658,1,0,4.558245957,Torrential Rain,,"February 14, 2012: ""Cilegon, Banten (ANTARA News) - A flood triggered by heavy rains inundated at least 1,700 houses in Cilegon city, Banten province, on Sunday. ""Right now the flood is inundating thousands of houses in Citangkil and Jombang sub-districts,"" voluntary worker Samsul said. The flood forced many residents to evacuate to school buildings, mosques and their relatives` houses, he said. Most of the flood victims could not save their belongings due to the overflowing of Cimanak river, he said. No injuries or fatalities have been reported in the flood. ""I, along with other volunteers have acted quickly to evacuate flood victims since Saturday night,"" he said. The flood that swept through the two sub-districts on Sunday followed heavy rains overnight, he said. The water level in the flood-affected areas was predicted to reach 1 m to 1.5 m. He said so far none of flood victims had food difficulties as food assistance from the regional government, private companies and other parties continued to pour in. ""We hope that the assistance will continue to pour in to alleviate the economic burden of the flood victims,"" he said.By Sunday evening, flood waters in several areas had shown no sign of receding.""",1,0,3899,1,10,4,3372,975,News
News,869.906,,,12/02/2012,,Heavy Rain,Philippines,,12/02/2012,0,Zamboanga del Norte,13327,3,14/02/2012,0,7.15665,122.12,0,0,3.592684840,Heavy Rain,,"February 14, 2012: ""Heavy flooding in Zamboanga province in Mindanao, Philippines-13,327 persons evacuated after flooding in Zamboanga del Norte-Flash flood was triggered by continuous rainfall brought by low pressure area in the region-After overflow of river in the province, people in  Bgys. Barcelona, Oyan, Opao, Ba-ao, Burgos, Sulangon, Polo, Tamion, Diwa-an, Simonoc, Owaon and Ilayan in Dapitan City, Zamboanga del Norte effected-National highway in the province closed""",1,0,3898,1.5,9,4,3371,975,News
News,9251,,,03/02/2012,,Torrential Rain,Greece,,03/02/2012,1,Western Greece,200,4,06/02/2012,0,39.8677,21.0056,1,0,4.568248672,Torrential Rain,,"February 5, 2012: ""Athens - One person was killed and more than 200 people evacuated as torrential rain caused widespread flooding and mudslides in the western Peloponnese, in Greece, radio reports said Sunday. Police discovered the body of an 80-year-old woman in her inundated home in the town of Livadia, located in the prefecture of Ilia. Thunderstorms have lashed parts of western Greece since Saturday evening, flooding hundreds of homes and shops. Rescue crews used helicopters to evacuate residents""",1,0,3897,1,9,4,3371,975,News
News,47136.84,,,01/02/2012,,Dam Failure,Bulgaria,,01/02/2012,5,Western Bulgaria,1000,6,06/02/2012,FL-2012-000019-BGR,42.555,24.2576,1,0,5.627602974,"Dam Break, Snowmelt, Heavy Rain",,"February 6, 2012: ""The rescue operation for the population of the flood-hit Haskovo municipality in southern Bulgaria continues despite the fact that the Cougar rescue helicopters are highly unsuitable for severe winter conditions.In a Monday interview for the morning broadcast of the Bulgarian National Television (BNT), Prime Minister Boyko Borisov explained that Cougar helicopters were not fit to use in winter conditions because they had no anti-icing and de-icing system, meaning that it was quite possible for them to crash after takeoff.""I wish the people courage! The problem is that Cougar helicopters, on which we have spent so much money, are not equipped with any form of anti-icing or de-icing system, which means that there is a huge risk of an engine failure after takeoff. The machines can reach an altitude of no more than 60 meters and cannot fly fast. At altitudes of over 60 meters the temperature is too low and the helicopters could freeze and plummet to the ground,"" Borisov stated.He specified that the risk had nevertheless been taken and the helicopters had already headed for the crisis spot.""We were also about to hit the ground at a certain point"" Borisov noted, confirming that he was also flying to the flood-hit region.""We have spent over BGN 500 000 on helicopters that can only fly in deserts and we can only use them to go to the beach in summertime,"" the Prime Minister said with indignation.An emergency situation was declared in the entire Haskovo municipality after the wall of the Ivanovo dam broke and flooded the village of Biser.Boats with divers of the local Civil Protection unit have already reached the village and over 30 people have been rescued.Meanwhile, the citizens of the southern Bulgarian town of Zlatograd are ready to be evacuated, as the municipalities of Zlatograd and Nedelino are in a state of emergency due to heavy rainfalls and melting snow. Over 100 liters of rain per square meter have been registered in the region.The southern Bulgarian municipalities of Kardzhali and Smolyan are under code red, as meteorologists have warned that floods are very likely to occur in the Rhodope region during the day.The whole of western Bulgaria is under Code Orange, while most of the eastern part of the country is under Code yellow, as heavy snowfalls continue""",1,0,3896,1.5,8,4,3370,975,News
News,7754.36,,,27/01/2012,,Torrential Rain,Indonesia,,27/01/2012,6,"Probolinggo district, East Java",3000,3,29/01/2012,0,-7.48277,112.51,1,0,4.542758473,Torrential Rain,,"January 29, 2011: ""Probolinggo, E Java (ANTARA News) - A flash flood swept through five sub-districts in Probolinggo district, East Java, on Sunday morning, destroying thousands of houses. The flood occurred so quickly that residents had no chance to save their belongings, chief of the Probolinggo district natural disaster mitigation board (BPBD) Masyhuri Efendi said. At least six people were reported missing. The flood also destroyed public utilities such as school buildings, and places of worship and carried away livestock. The five flash flood-affected sub-districts are Kraksaan, Gading, Krejengan, Pakuniran, and Pajarakan He said the flash flood was caused by the overflowing of Pekalen river following heavy rains in the upper reach of the river at Mount Argopuro. Hundreds of people were taking refuge at higher ground along with their livestock for fear that another flash flood would recur. Tens of security personnel were deployed to flood-hit villages such as Patemon village which was hit hardest by the flood to help flood victims. Krejengan sub-district head Suharto said the flood inflicted billions of rupiahs in losses at Patemon village alone. He said the flash flood also cut off three bamboo bridge which linked the village to other villages in the sub-district. Spokesman of Probolinggo police resort Comr. Hadiprayitno said at least two school buildings at the village were damaged. (*)""",1,0,3895,1.5,7,4,3369,975,News
News,761154.11,,,22/01/2012,,Monsoon Rain,Australia,,22/01/2012,2,"Central, northern and western Queensland; western New South Wales",13000,46,07/03/2012,0,-21.7176,146.646,1,1,7.845260424,Monsoonal Rain,,"March 7, 2012: "" Hundreds more people have been evacuated from Australia's flood-hit southeast, but flood barriers in the city of Wagga Wagga have so far held firm, saving the central business district from the rising waters of the Murrumbidgee River.About 600 people were ordered to leave their homes in Griffith on Wednesday, northwest of Wagga Wagga, as floodwaters threatened the low-lying New South Wales town of 16,000 people.A state emergency services spokesman told ABC radio it could become isolated.""There is a very significant flood emergency there. There is the potential for that flood emergency in Griffith to continue for a couple of weeks and a large number of people have been evacuated in the last 24 hours,""  James McTavish said.""We're hopeful though that the preparations that we're putting in place, today in particular, will protect more of Griffith and surrounds.""The evacuation order came as a severe weather warning was issued for Sydney, the south coast, and the Illawarra and Hunter regions of New South Wales with heavy rain forecast that could lead to flash flooding.Floods have hit three eastern states this week, sweeping two men to their deaths after they attempted to cross waterways in cars, inundating hundreds of homes and causing millions of dollars in damage.Nine thousand people were evacuated from Wagga Wagga, New South Wales's largest inland city, on Tuesday as the surging Murrumbidgee threatened to breach its levee.While around 240 homes in the north of the town were damaged, some with water up to the roof, many more in the centre were spared after the river peaked just below the levee limit.Some residents were given the all-clear to return home Wednesday, although parts of the town remained under water.Red Cross national emergency services manager Andrew Coghlan warned flood victims to brace themselves for a long road ahead.""People need to prepare themselves for the challenge of not only cleaning up and repairing damage to their property but also overcoming the disruption caused to family life and the community,"" he said.'Long, hard journey'Barry O'Farrell, New South Wales' premier, said it would be weeks or months before the real cost of the crisis was known while Julia Gillard, Australia's prime minister, warned of a ""long, hard journey of recovery"".""As a federal government we'll keep working with our state counterparts and local communities to support them during this difficult time,"" said Gillard, who travelled to Wagga Wagga on Wednesday to see the destruction for herself.""As a nation we've shown that we don't leave people behind, that we continue to show our generosity and support to our fellow Australians when they're in times of need.""Around New South Wales more than 13,000 people have been asked to leave their homes due to flooding, with hundreds of properties inundated and a number of rural communities isolated by the rising waters.Flooding has also hit rural regions in the state of Victoria with nervous residents of the town of Nathalia hoping an emergency levee built to protect 170 homes will hold as a creek keeps rising.Eastern Australia was hit by devastating floods in early 2011 which claimed more than 30 lives, flooded thousands ofhomes and left vast swathes of the country swamped, including the Queensland capital Brisbane."" February 12, 2012: ""An evacuation order has been issued for residents of a village near Walgett, as more than 5000 people remain isolated by floodwaters across northern NSW.Power has been lost at the small indigenous community of Namoi Village near Walgett, sparking the NSW State Emergency Service (SES) to tell residents of the village to evacuate their homes by 7pm (AEDT) on Sunday.""You can choose to go to friends or relatives,"" the SES said in a statement on Sunday""..""Queensland's water problem is flooding into New South Wales.Emergency services spokesman Phil Campbell says this is going to be a very large flood indeed.""It's going to last in some cases for several months. We've got many farmers as well as individual towns that are cut off. We're making sure with our fleet of helicopters that we get the resources to those people as they need them,"" he says.Essentials including food, blood products and fuel are being dropped to isolated communities. February 6, 2012: ""Flood waters rose on Monday in parts of Queensland but residents of a threatened town in the Australian state were thrown a lifeline with news that the levee on a swollen river might hold. Thousands of Australians have been forced to abandon their homes as a record deluge sweeps through areas still reeling from last year's devastating flooding, with St George, in Queensland's south, under most threat on Monday. Many of its residents fled on Sunday evening to evacuation centres in nearby Dalby or the state capital Brisbane, although some 400 stayed to help limit the damage despite a mandatory evacuation order. Local mayor Donna Stewart said the Balonne River in St George, flooding for the third time in less than two years, had reached 13.48 metres and was expected to keep rising until at least Tuesday night. Forecasters earlier estimated it could top 15 metres, breaching the town's 14.5-metre levee but they have now revised down the predicted peak to just over 14 metres, making it touch and go whether the levee will hold. ""It's not out of the question it'll go above the 14.5 level but it's more likely not to,"" said Bureau of Meteorology hydrologist Chris Leahy as authorities dumped mountains of dirt around town to shore up its defences. Stewart said she was optimistic the town could survive the worst-case scenario. ""The picture is not as grim as what it was looking this time yesterday,"" she said. State Premier Anna Bligh, who launched a flood relief appeal, said the St George disaster had been the largest ever evacuation of a town in Queensland. January 29, 2012: ""RURAL communities remain isolated today after flash floods cut dozens of roads from Mount Isa in the north to the NSW border and the east-west railway line at Emerald. Intense storms lashed central, northern and western Queensland with record-breaking rain, while the Landsborough and Flinders highways were swamped with more than 2m of water, cutting off Mount Isa in the far northwest.With catchments soaked and creeks and rivers flowing strongly, Weather Bureau hydrologists warn that storms will easily trigger further flooding.The Landsborough Highway is closed at Winton, cars have been stranded and police have appealed to motorists to avoid the region as many people are becoming stuck at Julia Creek which is running out of accommodation.QR expects to reopen the rail line tomorrow or the day after.The Paroo River is expected to reach flood levels near the NSW border next weekend similar to that of the major autumn flood in 2010.It comes as conditions start to clear in the southeast but a monsoon trough - sometimes a forerunner to a cyclone - is expected to form off Cairns today.The State Emergency Service handled about 600 jobs state-wide over the weekend, with most for minor water inundation and roof damage.Julia Creek Motel owner Michelle Zadow said roads would likely reopen tomorrow or the day after. ""We're fully booked out and I've said 'no' to about 10 people,"" she said.In the central Queensland towns of Sapphire and Springsure, a caravan park was evacuated and two houses and a tourist centre flooded on Saturday night and early yesterday.The giant Fairbairn Dam has started to overflow, which is expected to cause parts of nearby Emerald to be cut off today...Floodwaters on the New South Wales north coast have started to recede but the threat is not yet over with more rain forecast.....About 2,000 people remain isolated along the mid and far north coast in valleys such as the Bellinger, Macleay, Brunswick, Tweed and Clarence.There has also been heavy rain inland and in western New South Wales, which has closed many roads and isolated some rural townships.State Emergency Services (SES) spokesman Phil Campbell says the situation is being closely monitored.""The key area for us in western New South Wales is the Indigenous community of Goodooga and its 300 residents... north of Bourke,"" he said.""We also have many of the roads in the unincorporated area around Broken Hill and also the Nyngan and Bogan Shires because their black soil roads are too easily become impassable in wet conditions.""He says officials flew into Bourke this morning and met with Aboriginal elders.""With Goodooga, the township is currently well supplied with food and other resources. We have had a chat to local elders to ascertain the communities need,"" he said.""",1,0,3894,2,6,4,3368,975,News
