Audience  score %,Worldwide Gross Amount,Film,Genre,Lead Studio,Number of Records,Profitability,Rotten Tomatoes %,Worldwide Gross,Year
82%,$0.2B,P.S. I Love You,Romance,Independent,1,5.103116833,21%,153.093505,2007
74%,$0.0B,Penelope,Comedy,Summit,1,1.382799733,52%,20.741996,2008
61%,$0.0B,Rachel Getting Married,Drama,Independent,1,1.384166667,85%,16.61,2008
70%,$0.1B,Remember Me,Drama,Summit,1,3.49125,28%,55.86,2010
81%,$0.4B,Sex and the City,Comedy,Warner Bros.,1,7.221795791,49%,415.253258,2008
49%,$0.3B,Sex and the City 2,Comedy,Warner Bros.,1,2.8835,15%,288.35,2010
60%,$0.0B,She's Out of My League,Comedy,Paramount,1,2.4405,57%,48.81,2010
,$0.1B,Something Borrowed,Romance,Independent,1,1.719514286,,60.183,2011
88%,$0.4B,Tangled,Animation,Disney,1,1.365692308,89%,355.08,2010
47%,$0.1B,The Back-up Plan,Comedy,CBS,1,2.202571429,20%,77.09,2010
81%,$0.3B,The Curious Case of Benjamin Button,Fantasy,Warner Bros.,1,1.78394375,73%,285.431,2008
68%,$0.0B,The Duchess,Drama,Paramount,1,3.207850222,60%,43.305978,2008
41%,$0.1B,The Heartbreak Kid,Comedy,Paramount,1,2.129444167,30%,127.76665,2007
47%,$0.0B,The Invention of Lying,Comedy,Warner Bros.,1,1.751351351,56%,32.4,2009
74%,$0.3B,The Proposal,Comedy,Disney,1,7.8675,43%,314.7,2009
65%,$0.1B,The Time Traveler's Wife,Drama,Paramount,1,2.598205128,38%,101.33,2009
78%,$0.7B,The Twilight Saga: New Moon,Drama,Summit,1,14.1964,27%,709.82,2009
68%,$0.2B,The Ugly Truth,Comedy,Independent,1,5.402631579,14%,205.3,2009
82%,$0.4B,Twilight,Romance,Summit,1,10.18002703,49%,376.661,2008
68%,$0.7B,Twilight: Breaking Dawn,Romance,Independent,1,6.383363636,26%,702.17,2011
47%,$0.1B,Tyler Perry's Why Did I get Married,Romance,Independent,1,3.7241924,46%,55.862886,2007
54%,$0.2B,Valentine's Day,Comedy,Warner Bros.,1,4.184038462,17%,217.57,2010
53%,$0.0B,Waiting For Forever,Romance,Independent,1,0.005,6%,0.025,2011
67%,$0.0B,Waitress,Romance,Independent,1,11.0897415,89%,22.179483,2007
89%,$0.5B,WALL-E,Animation,Disney,1,2.896019067,96%,521.283432,2008
72%,$0.1B,Water For Elephants,Drama,20th Century Fox,1,3.081421053,60%,117.094,2011
72%,$0.2B,What Happens in Vegas,Comedy,Fox,1,6.267647029,28%,219.367646,2008
44%,$0.0B,When in Rome,Comedy,Disney,1,,15%,43.04,2010
35%,$0.0B,You Will Meet a Tall Dark Stranger,Comedy,Independent,1,1.211818182,43%,26.66,2010
52%,$0.0B,Youth in Revolt,Comedy,The Weinstein Company,1,1.09,68%,19.62,2010
70%,$0.0B,Zack and Miri Make a Porno,Romance,The Weinstein Company,1,1.747541667,64%,41.941,2008
